GeoFIPS	GeoName	Region	TableName	LineCode	IndustryClassification	Description	Unit	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
 37000	North Carolina	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	4745270	4906391	5088036	5306321	5545410	6013850	6465345	6504764	6276655	6487984	6961859	7678070	8143235	9058218	9858576	10616998	11231439	11768678
 37001	Alamance, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	70977	76274	78835	81082	85470	93779	100607	102495	101440	107747	116373	126017	128214	130183	135841	145536	150473	161949
 37003	Alexander, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	6693	6971	8171	9215	9111	9603	9126	8777	7886	7674	8318	8840	9011	9240	10640	11238	11948	12443
 37005	Alleghany, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	2430	2522	3182	2941	3878	4207	4617	3580	3739	4005	3852	3622	3645	3470	3516	3447	3998	3583
 37007	Anson, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	4600	4904	5444	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37009	Ashe, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	6838	6844	(D)	(D)	7795	(D)	9247	9362	9126	9715	10278	9664	10127	10946	11582	12528	12750	14837
 37011	Avery, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	13282	13674	15874	16881	17137	18747	19484	20486	20872	21671	17131	19453	19413	19965	19452	20684	21837	23340
 37013	Beaufort, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	31164	33718	25513	16858	20495	19175	19158	18695	18669	20905	25162	33770	38291	40437	43147	44712	48077	50684
 37015	Bertie, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	1862	1874	1883	1897	1637	1968	(D)	(D)	(D)	(D)	2774	(D)	(D)	2580	2155	2205	2355	2838
 37017	Bladen, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	6945	6981	(D)	8249	(D)	(D)	(D)	(D)	(D)	8817	9485	10035	10098	(D)	11583	10834	12064	12314
 37019	Brunswick, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	31193	33256	36020	49412	49798	57752	61466	59941	57473	60922	68038	73168	77593	87405	93080	103395	107418	114211
 37021	Buncombe, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	201837	215915	220448	225741	239668	266038	298691	292871	279810	289321	304364	340686	389734	429744	465033	500383	530767	534271
 37023	Burke, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	29547	29781	29874	31532	29927	31313	31907	31727	30083	30479	32338	36316	40874	45929	52559	56008	59369	65119
 37025	Cabarrus, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	70823	75396	80802	92570	105216	114039	130269	133108	128351	129233	135809	165885	181609	190506	201993	216075	226851	244966
 37027	Caldwell, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	19918	20308	19619	20690	20488	21325	22108	23557	23591	24150	25902	28205	29315	30203	33340	33631	35734	36144
 37029	Camden, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	1389	1260	1295	983	(D)	(D)	(D)	436	(D)	735	(D)	(D)	(D)	(D)	(D)	(D)	(D)
 37031	Carteret, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	54764	54307	56650	57181	59996	64146	68875	67559	65618	66257	69179	74257	77151	80295	84774	90367	96314	98450
 37033	Caswell, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	(D)	(D)	1466	1760	1950	2002	1801	(D)	1928	2110	2220	2196	3567	(D)	4244	5203
 37035	Catawba, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	115672	102131	101132	100447	101780	110318	111909	108120	101747	112258	112346	123921	130574	142837	150075	167320	173631	181776
 37037	Chatham, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	11501	12333	11778	13122	14542	17305	18340	18307	18599	18713	22040	26096	29123	30546	32174	32985	36482	37625
 37039	Cherokee, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	9894	10210	10848	11778	(D)	12978	13500	13506	12900	12342	12461	13905	17813	19284	20100	21351	22730	25044
 37041	Chowan, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	(D)	(D)	5295	5933	5910	6163	7038	6739	6233	5881	6191	7454	7615	7440	7905	8113	7864	8498
 37043	Clay, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	2289	(D)	3018	3016	3145	(D)	(D)	(D)	2723	(D)	(D)	(D)	4357	(D)	(D)	(D)	(D)	(D)
 37045	Cleveland, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	28890	31048	31879	32871	34158	35839	39074	38500	35952	37870	40379	41920	45401	49968	52880	56510	56110	60716
 37047	Columbus, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	11883	10449	11982	13011	12119	13041	15024	15352	16301	15948	(D)	(D)	18895	19913	21850	23190	27325	28803
 37049	Craven, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	36828	39047	42360	45789	47337	54217	61023	64485	64091	58453	62082	65754	66114	68289	74619	85277	85855	87385
 37051	Cumberland, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	135856	147097	160671	174598	179492	193063	205341	219818	220807	220080	232268	248776	254940	270721	275770	283071	290878	301559
 37053	Currituck, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	9181	10598	10974	9761	11662	12465	12515	11933	10938	10864	11740	13673	15657	16871	17453	19638	20269	23150
 37055	Dare, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	83632	89991	93615	94399	91866	95310	101646	101758	100006	102398	107892	127415	138844	148742	159108	165383	177145	183953
 37057	Davidson, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	41939	44182	45356	47460	50385	51322	53079	53141	53384	54072	57867	64220	67190	70216	73233	75022	75986	78043
 37059	Davie, NC	5.0	CAINC5N	1800.0	72	   Accommodation and food services	Thousands of dollars	7946	9011	10235	11632	11480	12441	13950	14024	13222	12845	13581	14888	16095	16915	18086	19905	21222	21199
